SpotPrice,Savings,SPS,AZ,Region,InstanceType,IF,time
1.1536,73,1,usw1-az1,us-west-1,r6gd.16xlarge,2.5,2022-07-12 04:20:02+00:00
1.0578,68,1,usw1-az3,us-west-1,r5ad.8xlarge,2.0,2022-07-12 04:20:02+00:00
0.3498,77,3,aps1-az1,ap-south-1,m5d.4xlarge,3.0,2022-07-12 04:20:02+00:00
0.0301,63,3,eun1-az1,eu-north-1,m6g.large,2.0,2022-07-12 04:20:02+00:00
0.8859,58,1,use1-az4,us-east-1,m5a.12xlarge,1.0,2022-07-12 04:20:02+00:00
0.0383,69,3,euc1-az1,eu-central-1,r6g.large,2.0,2022-07-12 04:20:02+00:00
0.1467,70,3,apse1-az3,ap-southeast-1,inf1.2xlarge,1.0,2022-07-12 04:20:02+00:00
0.2013,75,3,aps1-az3,ap-south-1,c4.4xlarge,1.0,2022-07-12 04:20:02+00:00
1.1543,56,3,euw1-az1,eu-west-1,c6a.16xlarge,1.0,2022-07-12 04:20:02+00:00
1.0587,55,3,euc1-az2,eu-central-1,c6g.12xlarge,2.5,2022-07-12 04:20:02+00:00
0.0035,70,3,use1-az2,us-east-1,t2.micro,2.5,2022-07-12 04:20:02+00:00
0.2196,70,3,apne2-az3,ap-northeast-2,i3.2xlarge,1.0,2022-07-12 04:20:02+00:00
0.8852,48,3,use1-az6,us-east-1,m6a.8xlarge,2.5,2022-07-12 04:20:02+00:00
1.0587,75,3,apse1-az1,ap-southeast-1,r5n.12xlarge,3.0,2022-07-12 04:20:02+00:00
0.0345,75,3,apse1-az2,ap-southeast-1,r5a.large,3.0,2022-07-12 04:20:02+00:00
0.2208,70,3,apse1-az1,ap-southeast-1,g4dn.xlarge,2.0,2022-07-12 04:20:02+00:00
0.0159,61,3,euw3-az2,eu-west-3,c6g.medium,2.5,2022-07-12 04:20:02+00:00
1.0591,73,2,apse1-az1,ap-southeast-1,r6i.12xlarge,3.0,2022-07-12 04:20:02+00:00
0.1519,72,3,apne2-az1,ap-northeast-2,m6i.2xlarge,1.0,2022-07-12 04:20:02+00:00
0.0301,69,3,apne2-az2,ap-northeast-2,c5.large,3.0,2022-07-12 04:20:02+00:00
1.1543,56,3,euw1-az2,eu-west-1,c6a.16xlarge,1.0,2022-07-12 04:20:02+00:00
0.2014,63,3,euc1-az3,eu-central-1,r5a.2xlarge,3.0,2022-07-12 04:20:02+00:00
0.3624,58,3,usw2-az4,us-west-2,m6i.4xlarge,2.0,2022-07-12 04:20:02+00:00
0.216,70,3,sae1-az2,sa-east-1,i3en.xlarge,2.5,2022-07-12 04:20:02+00:00
0.8851,80,2,aps1-az3,ap-south-1,r4.16xlarge,1.0,2022-07-12 04:20:02+00:00
0.5207,67,3,euc1-az2,eu-central-1,c4.4xlarge,1.0,2022-07-12 04:20:02+00:00
0.0031,70,3,use1-az2,us-east-1,t3.micro,3.0,2022-07-12 04:20:02+00:00
1.0962,75,1,apse1-az1,ap-southeast-1,r5a.16xlarge,2.5,2022-07-12 04:20:02+00:00
0.1519,83,3,apse2-az1,ap-southeast-2,r3.2xlarge,1.5,2022-07-12 04:20:02+00:00
0.5268,85,3,use2-az2,us-east-2,r6id.12xlarge,2.5,2022-07-12 04:20:02+00:00
0.1467,70,3,apse1-az2,ap-southeast-1,inf1.2xlarge,1.0,2022-07-12 04:20:02+00:00
0.0418,87,3,use2-az3,us-east-2,r5dn.xlarge,3.0,2022-07-12 04:20:02+00:00
0.0338,89,3,apse2-az3,ap-southeast-2,m2.xlarge,1.0,2022-07-12 04:20:02+00:00
0.207,70,3,use1-az2,us-east-1,d2.xlarge,1.0,2022-07-12 04:20:02+00:00
1.1543,56,3,euw1-az3,eu-west-1,c6a.16xlarge,1.0,2022-07-12 04:20:02+00:00
0.5333,78,3,euw3-az1,eu-west-3,r5ad.8xlarge,2.5,2022-07-12 04:20:02+00:00
0.8851,80,2,aps1-az1,ap-south-1,r4.16xlarge,1.0,2022-07-12 04:20:02+00:00
0.0277,35,3,aps1-az2,ap-south-1,c6g.large,3.0,2022-07-12 04:20:02+00:00
0.0678,70,3,use1-az1,us-east-1,i3en.large,3.0,2022-07-12 04:20:02+00:00
0.0301,72,3,usw2-az3,us-west-2,c3.large,2.5,2022-07-12 04:20:02+00:00
0.0163,70,3,apne3-az2,ap-northeast-3,t3.medium,3.0,2022-07-12 04:20:02+00:00
0.0383,61,3,usw2-az3,us-west-2,m5a.large,3.0,2022-07-12 04:20:02+00:00
1.1543,51,3,euw1-az1,eu-west-1,c6g.16xlarge,3.0,2022-07-12 04:20:02+00:00
0.0394,81,3,use2-az1,us-east-2,a1.2xlarge,1.0,2022-07-12 04:20:02+00:00
0.885,50,3,euw1-az3,eu-west-1,c6g.12xlarge,3.0,2022-07-12 04:20:02+00:00
0.0398,74,3,euw1-az1,eu-west-1,m5dn.large,3.0,2022-07-12 04:20:02+00:00
0.152,68,3,apne2-az4,ap-northeast-2,c5.2xlarge,3.0,2022-07-12 04:20:02+00:00
1.0597,83,3,usw1-az1,us-west-1,m5zn.12xlarge,2.0,2022-07-12 04:20:02+00:00
0.2785,55,3,euc1-az1,eu-central-1,c6g.4xlarge,2.5,2022-07-12 04:20:02+00:00
0.5268,85,3,use2-az3,us-east-2,r6id.12xlarge,2.5,2022-07-12 04:20:02+00:00
0.0035,70,3,use1-az3,us-east-1,t2.micro,2.5,2022-07-12 04:20:02+00:00
1.0605,72,1,apse2-az3,ap-southeast-2,m5ad.12xlarge,2.5,2022-07-12 04:20:02+00:00
0.1467,70,3,apse1-az1,ap-southeast-1,inf1.2xlarge,1.0,2022-07-12 04:20:02+00:00
0.03,70,3,euw1-az3,eu-west-1,x2gd.medium,2.5,2022-07-12 04:20:02+00:00
1.1543,51,3,euw1-az2,eu-west-1,c6g.16xlarge,3.0,2022-07-12 04:20:02+00:00
0.5333,78,1,euw3-az2,eu-west-3,r5ad.8xlarge,2.5,2022-07-12 04:20:02+00:00
0.8847,68,3,euw1-az3,eu-west-1,r5n.8xlarge,3.0,2022-07-12 04:20:02+00:00
0.0311,72,3,apse1-az3,ap-southeast-1,c5d.large,3.0,2022-07-12 04:20:02+00:00
1.1543,51,1,euw1-az3,eu-west-1,c6g.16xlarge,3.0,2022-07-12 04:20:02+00:00
0.216,70,3,sae1-az1,sa-east-1,i3en.xlarge,2.5,2022-07-12 04:20:02+00:00
0.0008,71,3,aps1-az2,ap-south-1,t4g.nano,3.0,2022-07-12 04:20:02+00:00
0.5199,73,3,apse1-az2,ap-southeast-1,c4.8xlarge,2.0,2022-07-12 04:20:02+00:00
0.8847,68,3,euc1-az3,eu-central-1,m6i.12xlarge,3.0,2022-07-12 04:20:02+00:00
0.207,70,3,use2-az3,us-east-2,d2.xlarge,1.0,2022-07-12 04:20:02+00:00
0.152,78,3,use2-az2,us-east-2,c5.4xlarge,3.0,2022-07-12 04:20:02+00:00
0.5333,78,3,euw3-az3,eu-west-3,r5ad.8xlarge,2.5,2022-07-12 04:20:02+00:00
1.1543,51,3,euw1-az1,eu-west-1,c6g.metal,2.5,2022-07-12 04:20:02+00:00
1.0609,62,3,euc1-az3,eu-central-1,c5a.16xlarge,1.0,2022-07-12 04:20:02+00:00
0.8846,55,3,use1-az5,us-east-1,m5n.8xlarge,1.5,2022-07-12 04:20:02+00:00
