InstanceType,Region,AZ,SPS_Mean,SPS_STD,label_SPS,label_STD,SpotPrice
t4g.2xlarge,ap-northeast-2,apne2-az2,2.9895833333333335,0.1173898715581734,4,1,0.1583
m5a.4xlarge,ap-northeast-2,apne2-az1,2.96875,0.17399263633843817,4,1,0.3718
c5d.12xlarge,ap-northeast-2,apne2-az4,2.8541666666666665,0.3529390488770295,4,2,0.7192
r6id.12xlarge,ap-northeast-2,apne2-az3,2.9722222222222223,0.16433554953054488,4,1,0.8307
r5dn.2xlarge,ap-northeast-2,apne2-az3,2.5729166666666665,0.7058012340202051,4,3,0.2013
c6gn.4xlarge,ap-northeast-2,apne2-az3,2.798611111111111,0.4576488997387613,4,2,0.2954
g3s.xlarge,ap-northeast-2,apne2-az3,2.998263888888889,0.0416304819732007,4,1,0.2802
m5a.4xlarge,ap-northeast-2,apne2-az3,2.6996527777777777,0.5352827824753064,4,3,0.3844
m6i.2xlarge,ap-northeast-2,apne2-az3,2.8020833333333335,0.5518867574562336,4,3,0.2046
r6g.2xlarge,ap-northeast-2,apne2-az3,2.9600694444444446,0.21279227131882558,4,1,0.1461
m6gd.4xlarge,ap-northeast-2,apne2-az2,2.7222222222222223,0.4479032082388083,4,2,0.2697
m6gd.8xlarge,ap-northeast-2,apne2-az4,2.9809027777777777,0.13686679044098785,4,1,0.5286
c6gn.4xlarge,ap-northeast-2,apne2-az1,2.986111111111111,0.11702985796078276,4,1,0.3326
r6g.4xlarge,ap-northeast-2,apne2-az3,2.7395833333333335,0.5876883563306888,4,3,0.4128
m5d.8xlarge,ap-northeast-2,apne2-az2,2.8993055555555554,0.3009237001342186,4,2,0.6061
r5d.8xlarge,ap-northeast-2,apne2-az3,2.513888888888889,0.699564458859057,4,3,0.9139
r3.8xlarge,ap-northeast-2,apne2-az1,2.8489583333333335,0.35808948825289777,4,2,0.5057
r5a.12xlarge,ap-northeast-2,apne2-az3,2.8315972222222223,0.3742235724997908,4,2,0.853
c6gn.12xlarge,ap-northeast-2,apne2-az1,2.532986111111111,0.4989107299645553,4,2,0.7552
r5dn.12xlarge,ap-northeast-2,apne2-az1,2.5590277777777777,0.4965034959097642,4,2,0.7911
