InstanceType,Region,AZ,SPS_Mean,SPS_STD,SpotPrice
d2.2xlarge,ap-northeast-2,apne2-az3,1.0,0.0,0.5064
d2.2xlarge,ap-northeast-2,apne2-az1,1.0,0.0,0.5064
g3.8xlarge,ap-northeast-2,apne2-az1,1.0,0.0,0.852
r3.8xlarge,ap-northeast-2,apne2-az3,1.0277777777777777,0.16433554953054486,0.4784
m6gd.8xlarge,ap-northeast-2,apne2-az2,1.0,0.0,0.5566
m6gd.8xlarge,ap-northeast-2,apne2-az1,1.0,0.0,0.5286
m5a.12xlarge,ap-northeast-2,apne2-az1,1.0,0.0,0.7552
r5dn.8xlarge,ap-northeast-2,apne2-az3,1.0,0.0,0.5274
r5dn.8xlarge,ap-northeast-2,apne2-az1,1.1736111111111112,0.378774726202629,0.5274
r5ad.8xlarge,ap-northeast-2,apne2-az3,1.3194444444444444,0.46626139809984773,0.5274
r5ad.8xlarge,ap-northeast-2,apne2-az1,1.3888888888888888,0.4874980215217846,0.5274
m6gd.12xlarge,ap-northeast-2,apne2-az1,1.3958333333333333,0.7285711854185714,0.931
m6gd.12xlarge,ap-northeast-2,apne2-az2,1.0,0.0,0.7929
c6gn.12xlarge,ap-northeast-2,apne2-az3,1.0,0.0,0.7552
i2.xlarge,ap-northeast-2,apne2-az3,1.0,0.0,0.3003
r5ad.12xlarge,ap-northeast-2,apne2-az1,1.4027777777777777,0.49045676619471046,0.7911
c5d.12xlarge,ap-northeast-2,apne2-az3,1.0,0.0,0.7192
c5d.12xlarge,ap-northeast-2,apne2-az2,1.4652777777777777,0.4987929102182094,0.7192
r5dn.12xlarge,ap-northeast-2,apne2-az3,1.0,0.0,0.7911
