InstanceType,Region,AZ,SPS_Mean,SPS_STD,SpotPrice
c3.4xlarge,us-east-1,use1-az2,1.0069444444444444,0.0830434773826486,0.4701
c3.4xlarge,us-east-1,use1-az3,1.0,0.0,0.502
d3.4xlarge,us-east-1,use1-az1,1.0,0.0,0.5826
c6gn.2xlarge,us-east-1,use1-az1,1.3263888888888888,0.6854627503364171,0.2592
c3.2xlarge,us-east-1,use1-az2,1.0,0.0,0.2614
c3.2xlarge,us-east-1,use1-az3,1.0,0.0,0.2616
c3.2xlarge,us-east-1,use1-az6,1.0,0.0,0.2223
m2.2xlarge,us-east-1,use1-az1,1.0,0.0,0.1056
m7gd.8xlarge,us-east-1,use1-az2,1.0,0.0,0.9226
vt1.6xlarge,us-east-1,use1-az1,1.0,0.0,0.9699
m1.small,us-east-1,use1-az1,1.0,0.0,0.0079
m6in.xlarge,us-east-1,use1-az2,1.0,0.0,0.1259
m6in.xlarge,us-east-1,use1-az4,1.0,0.0,0.1272
m6in.xlarge,us-east-1,use1-az6,1.1805555555555556,0.4354559835164134,0.127
m7i-flex.large,us-east-1,use1-az2,1.0,0.0,0.0568
m7i-flex.large,us-east-1,use1-az6,1.0,0.0,0.0635
r5ad.4xlarge,us-east-1,use1-az1,1.3263888888888888,0.6104399723777458,0.5205
d2.2xlarge,us-east-1,use1-az5,1.0,0.0,0.4196
m6idn.2xlarge,us-east-1,use1-az2,1.0069444444444444,0.0830434773826486,0.25
m6idn.4xlarge,us-east-1,use1-az2,1.0138888888888888,0.1660869547652972,0.4424
d3en.6xlarge,us-east-1,use1-az1,1.0,0.0,0.9678
d3en.6xlarge,us-east-1,use1-az6,1.2916666666666667,0.45452967144315476,0.9644
c3.xlarge,us-east-1,use1-az3,1.0,0.0,0.1094
c3.xlarge,us-east-1,use1-az2,1.0,0.0,0.1303
c3.xlarge,us-east-1,use1-az6,1.0,0.0,0.1303
a1.2xlarge,us-east-1,use1-az6,1.4027777777777777,0.4904567661947104,0.1812
m7i-flex.xlarge,us-east-1,use1-az4,1.4791666666666667,0.7067998105703072,0.1262
m7i-flex.xlarge,us-east-1,use1-az2,1.0,0.0,0.1265
m7i-flex.xlarge,us-east-1,use1-az6,1.0,0.0,0.1143
m2.4xlarge,us-east-1,use1-az1,1.0,0.0,0.2077
m6a.4xlarge,us-east-1,use1-az1,1.1666666666666667,0.5137011669140814,0.5052
c7gn.2xlarge,us-east-1,use1-az4,1.0,0.0,0.241
r5ad.8xlarge,us-east-1,use1-az1,1.0,0.0,0.9261
m2.xlarge,us-east-1,use1-az1,1.0,0.0,0.0583
m7i-flex.8xlarge,us-east-1,use1-az4,1.2638888888888888,0.4407397681284008,0.8948
m6id.2xlarge,us-east-1,use1-az1,1.0,0.0,0.217
