InstanceType,Region,AZ,SPS_Mean,SPS_STD,label_SPS,label_STD,SpotPrice
x2gd.4xlarge,us-west-2,usw2-az3,2.8958333333333335,0.3054766312211496,4,2,0.6041
a1.2xlarge,us-west-2,usw2-az2,2.986111111111111,0.11702985796078277,4,1,0.1607
d2.4xlarge,us-west-2,usw2-az3,2.6788194444444446,0.4669299800704387,4,2,0.6563
h1.2xlarge,us-west-2,usw2-az1,2.8159722222222223,0.3875068448220633,4,2,0.3797
c5ad.8xlarge,us-west-2,usw2-az4,2.873263888888889,0.3326771246291864,4,2,0.808
i2.4xlarge,us-west-2,usw2-az2,2.7465277777777777,0.4349989135434141,4,2,0.8349
a1.2xlarge,us-west-2,usw2-az3,2.779513888888889,0.4228669180281833,4,2,0.1352
m5dn.2xlarge,us-west-2,usw2-az1,2.9930555555555554,0.08304347738264861,4,1,0.3166
c7i.8xlarge,us-west-2,usw2-az2,2.6684027777777777,0.5165069150801539,4,3,0.9637
c3.xlarge,us-west-2,usw2-az1,2.857638888888889,0.4935809993629199,4,2,0.0997
im4gn.2xlarge,us-west-2,usw2-az1,2.501736111111111,0.7727995911880596,4,4,0.444
c3.large,us-west-2,usw2-az2,2.7152777777777777,0.6988402540046502,4,3,0.0516
m6id.8xlarge,us-west-2,usw2-az3,2.9427083333333335,0.232399078305449,4,1,0.9627
m5n.8xlarge,us-west-2,usw2-az1,2.9010416666666665,0.30436459028514545,4,2,0.8103
m5a.8xlarge,us-west-2,usw2-az3,2.967013888888889,0.17860018920728093,4,1,0.8203
r5d.xlarge,us-west-2,usw2-az4,2.9965277777777777,0.058823174812838254,4,1,0.0968
m5a.4xlarge,us-west-2,usw2-az3,2.9600694444444446,0.24324769191487428,4,1,0.4792
m7i-flex.8xlarge,us-west-2,usw2-az3,2.9444444444444446,0.2290614236454256,4,1,0.9788
g5.4xlarge,us-west-2,usw2-az1,2.7621527777777777,0.6129603295057843,4,3,0.5515
c7i.4xlarge,us-west-2,usw2-az2,2.953125,0.21137108216357317,4,1,0.486
m6gd.2xlarge,us-west-2,usw2-az2,2.7534722222222223,0.5848092274936575,4,3,0.1855
c6in.8xlarge,us-west-2,usw2-az2,2.9965277777777777,0.058823174812838254,4,1,0.9529
a1.xlarge,us-west-2,usw2-az3,2.7934027777777777,0.4048639400987496,4,2,0.0658
c7g.12xlarge,us-west-2,usw2-az4,2.998263888888889,0.04163048197320069,4,1,0.9493
m4.2xlarge,us-west-2,usw2-az1,2.9947916666666665,0.07198059875565237,4,1,0.2333
m2.4xlarge,us-west-2,usw2-az3,2.9010416666666665,0.29860606423383673,4,2,0.189
c3.4xlarge,us-west-2,usw2-az3,2.954861111111111,0.20760869345662147,4,1,0.4132
c7i.8xlarge,us-west-2,usw2-az3,2.6631944444444446,0.5314088360953805,4,3,0.8463
m6gd.4xlarge,us-west-2,usw2-az2,2.7413194444444446,0.5899278987579962,4,3,0.4666
c7gn.2xlarge,us-west-2,usw2-az1,2.6666666666666665,0.5137011669140814,4,3,0.1527
