InstanceType,Region,AZ,SPS_Mean,SPS_STD,SpotPrice
c4.2xlarge,us-west-2,usw2-az3,3.0,0.0,0.2399
c4.2xlarge,us-west-2,usw2-az1,3.0,0.0,0.1666
c4.2xlarge,us-west-2,usw2-az2,3.0,0.0,0.1768
c5n.large,us-west-2,usw2-az3,3.0,0.0,0.0491
c5n.large,us-west-2,usw2-az1,3.0,0.0,0.0524
c5n.large,us-west-2,usw2-az2,3.0,0.0,0.0599
c5n.large,us-west-2,usw2-az4,3.0,0.0,0.0544
m7i-flex.xlarge,us-west-2,usw2-az4,3.0,0.0,0.1029
m7i-flex.xlarge,us-west-2,usw2-az3,3.0,0.0,0.0874
m7i-flex.xlarge,us-west-2,usw2-az2,3.0,0.0,0.1046
m7g.8xlarge,us-west-2,usw2-az2,3.0,0.0,0.9283
m7g.8xlarge,us-west-2,usw2-az1,3.0,0.0,0.9356
m7g.8xlarge,us-west-2,usw2-az3,3.0,0.0,0.767
z1d.xlarge,us-west-2,usw2-az1,3.0,0.0,0.1883
z1d.xlarge,us-west-2,usw2-az3,3.0,0.0,0.2229
z1d.xlarge,us-west-2,usw2-az2,3.0,0.0,0.2014
d3en.xlarge,us-west-2,usw2-az3,3.0,0.0,0.1927
d3en.xlarge,us-west-2,usw2-az1,3.0,0.0,0.1792
d3en.xlarge,us-west-2,usw2-az4,3.0,0.0,0.1984
d3en.xlarge,us-west-2,usw2-az2,3.0,0.0,0.1616
g5.2xlarge,us-west-2,usw2-az1,3.0,0.0,0.4923
g5.2xlarge,us-west-2,usw2-az3,3.0,0.0,0.4532
g5.2xlarge,us-west-2,usw2-az2,3.0,0.0,0.5122
c5ad.xlarge,us-west-2,usw2-az4,3.0,0.0,0.0949
c5ad.xlarge,us-west-2,usw2-az1,3.0,0.0,0.1205
c5ad.xlarge,us-west-2,usw2-az2,3.0,0.0,0.1197
m1.xlarge,us-west-2,usw2-az2,3.0,0.0,0.0568
m1.xlarge,us-west-2,usw2-az3,3.0,0.0,0.036
r5ad.4xlarge,us-west-2,usw2-az4,3.0,0.0,0.4833
r5ad.4xlarge,us-west-2,usw2-az1,3.0,0.0,0.5884
r5ad.4xlarge,us-west-2,usw2-az3,3.0,0.0,0.5649
r5ad.4xlarge,us-west-2,usw2-az2,3.0,0.0,0.517
m7i-flex.2xlarge,us-west-2,usw2-az3,3.0,0.0,0.1811
m7i-flex.2xlarge,us-west-2,usw2-az4,3.0,0.0,0.2049
m7i-flex.2xlarge,us-west-2,usw2-az2,3.0,0.0,0.2067
m5zn.xlarge,us-west-2,usw2-az1,3.0,0.0,0.1383
m5zn.xlarge,us-west-2,usw2-az3,3.0,0.0,0.1492
m5zn.xlarge,us-west-2,usw2-az2,3.0,0.0,0.1311
c7i.large,us-west-2,usw2-az3,3.0,0.0,0.0513
c7i.large,us-west-2,usw2-az1,3.0,0.0,0.0517
c7i.large,us-west-2,usw2-az2,3.0,0.0,0.0433
i4i.4xlarge,us-west-2,usw2-az4,3.0,0.0,0.4681
i4i.4xlarge,us-west-2,usw2-az1,3.0,0.0,0.5633
i4i.4xlarge,us-west-2,usw2-az2,3.0,0.0,0.5639
i4i.4xlarge,us-west-2,usw2-az3,3.0,0.0,0.4955
r5n.4xlarge,us-west-2,usw2-az2,3.0,0.0,0.5765
r5n.4xlarge,us-west-2,usw2-az3,3.0,0.0,0.4752
r5n.4xlarge,us-west-2,usw2-az1,3.0,0.0,0.571
m5dn.large,us-west-2,usw2-az2,3.0,0.0,0.0505
m5dn.large,us-west-2,usw2-az3,3.0,0.0,0.0602
m5dn.large,us-west-2,usw2-az1,3.0,0.0,0.0527
m6gd.medium,us-west-2,usw2-az4,3.0,0.0,0.0295
m6gd.medium,us-west-2,usw2-az1,3.0,0.0,0.0209
m6gd.medium,us-west-2,usw2-az2,3.0,0.0,0.0258
m6gd.medium,us-west-2,usw2-az3,3.0,0.0,0.0296
i3en.3xlarge,us-west-2,usw2-az3,3.0,0.0,0.3004
