InstanceType,Region,AZ,SPS_Mean,SPS_STD,SpotPrice
m7i-flex.xlarge,us-west-2,usw2-az1,1.0,0.0,0.1206
m7i-flex.2xlarge,us-west-2,usw2-az1,1.0,0.0,0.2436
i2.2xlarge,us-west-2,usw2-az2,1.0,0.0,0.3577
i2.2xlarge,us-west-2,usw2-az1,1.4861111111111112,0.513513376314893,0.3475
inf1.xlarge,us-west-2,usw2-az3,1.0,0.0,0.2205
c7gn.4xlarge,us-west-2,usw2-az1,1.0,0.0,0.3529
c7gn.4xlarge,us-west-2,usw2-az3,1.0,0.0,0.4743
a1.4xlarge,us-west-2,usw2-az2,1.0,0.0,0.2707
m5zn.3xlarge,us-west-2,usw2-az2,1.1736111111111112,0.378774726202629,0.3913
d3.4xlarge,us-west-2,usw2-az4,1.0208333333333333,0.1428261375083551,0.6601
d3.4xlarge,us-west-2,usw2-az1,1.0277777777777777,0.16433554953054486,0.8924
c7gn.2xlarge,us-west-2,usw2-az3,1.3541666666666667,0.5199993322645285,0.2385
m7i-flex.large,us-west-2,usw2-az1,1.0,0.0,0.0608
m5dn.8xlarge,us-west-2,usw2-az1,1.0,0.0,0.8385
m5dn.8xlarge,us-west-2,usw2-az2,1.0,0.0,0.9789
c7gn.8xlarge,us-west-2,usw2-az1,1.0,0.0,0.7948
c7gn.8xlarge,us-west-2,usw2-az3,1.0,0.0,0.8272
c7i.12xlarge,us-west-2,usw2-az2,1.1180555555555556,0.32267389320802625,0.979
im4gn.4xlarge,us-west-2,usw2-az1,1.0,0.0,0.8966
m2.4xlarge,us-west-2,usw2-az1,1.3194444444444444,0.46626139809984773,0.1272
d2.4xlarge,us-west-2,usw2-az4,1.0,0.0,0.7667
m6id.8xlarge,us-west-2,usw2-az2,1.2291666666666667,0.4365068091616034,0.9539
c1.xlarge,us-west-2,usw2-az3,1.0,0.0,0.0642
c1.xlarge,us-west-2,usw2-az1,1.0,0.0,0.0699
c1.xlarge,us-west-2,usw2-az2,1.3125,0.6919050793923173,0.0779
trn1.2xlarge,us-west-2,usw2-az1,1.0,0.0,0.3754
inf1.2xlarge,us-west-2,usw2-az2,1.0486111111111112,0.21505364676669475,0.2507
inf1.2xlarge,us-west-2,usw2-az1,1.2013888888888888,0.5600081982424591,0.2721
inf1.2xlarge,us-west-2,usw2-az3,1.0,0.0,0.3556
m7i-flex.4xlarge,us-west-2,usw2-az1,1.0,0.0,0.4446
inf1.6xlarge,us-west-2,usw2-az1,1.0,0.0,0.958
inf1.6xlarge,us-west-2,usw2-az3,1.0,0.0,0.7911
inf1.6xlarge,us-west-2,usw2-az2,1.0,0.0,0.9821
t1.micro,us-west-2,usw2-az3,1.0,0.0,0.0028
c3.xlarge,us-west-2,usw2-az3,1.0,0.0,0.1035
c3.xlarge,us-west-2,usw2-az2,1.0,0.0,0.1216
d2.2xlarge,us-west-2,usw2-az4,1.0069444444444444,0.0830434773826486,0.3791
c3.2xlarge,us-west-2,usw2-az3,1.0,0.0,0.3033
c3.2xlarge,us-west-2,usw2-az1,1.0,0.0,0.3078
c3.2xlarge,us-west-2,usw2-az2,1.0,0.0,0.3673
m7i-flex.8xlarge,us-west-2,usw2-az2,1.0,0.0,0.8251
m7i-flex.8xlarge,us-west-2,usw2-az1,1.0,0.0,0.6979
c7gn.xlarge,us-west-2,usw2-az3,1.3263888888888888,0.5989558172249889,0.1194
c7gn.large,us-west-2,usw2-az3,1.0,0.0,0.0593
c7gn.large,us-west-2,usw2-az1,1.0,0.0,0.0516
m5zn.6xlarge,us-west-2,usw2-az2,1.0,0.0,0.7473
