InstanceType,Region,AZ,SPS_Mean,SPS_STD,SpotPrice
m1.xlarge,us-west-2,usw2-az1,1.9861111111111112,0.263156879465228,0.0698
a1.4xlarge,us-west-2,usw2-az3,2.0069444444444446,0.4329570125212872,0.3227
im4gn.4xlarge,us-west-2,usw2-az3,2.173611111111111,0.8192973031736734,0.6348
d2.xlarge,us-west-2,usw2-az4,1.9930555555555556,0.6508170908961052,0.223
d2.4xlarge,us-west-2,usw2-az1,1.9791666666666667,0.8288944276699067,0.888
m7i-flex.4xlarge,us-west-2,usw2-az2,2.2291666666666665,0.5492260969360029,0.4853
m6idn.8xlarge,us-west-2,usw2-az3,1.7569444444444444,0.42892837685228496,0.9729
m7i.8xlarge,us-west-2,usw2-az1,2.111111111111111,0.7179359990733382,0.7003
m5ad.8xlarge,us-west-2,usw2-az1,1.8472222222222223,0.6046055238799698,0.9694
h1.4xlarge,us-west-2,usw2-az1,2.0,0.0,0.7476
m1.small,us-west-2,usw2-az1,1.8541666666666667,0.8816709987291178,0.0122
